	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
397	Quant ele vit ce, 	e quando ella aquello vido 	Et quant elle uoit ce 	quant ele uoit ce: 	Quant elle uoit ce 	Et quant la damoisele voit chou. 	eE quand’ella vide ciò, 
398	si s’en retorne en son chastel dolente et corociee 	tornose asu castillo muy triste e muy sañuda 	si sen retourne en son chastel doulente et couroucee 	si en retorne en son chastels 	si sen retoure en son chastel dollente et courroucee/ 	si sen retorne a son castel dolante et corouchie. 	si se ne torna in suo castello dolente e crucciata, 
399	et conte a cele de Honguefort 	e contolo ansi ala donzella de hongeforte 	Et compte a celle de hunguefort 	et conte a cele de honguefort 	et compte a celle de henguesford 	et conte a cele de hongrefort 	e conta a quella d’Unguelforte 
400|401|402	comment ses ostes s’en estoit alez, |puis demande a cels de laiens: « |Bials seignors, 	Como su huesped hera ydo |e la donzella les pregunto 	comment son hoste sen est alle |et puis demande a ceulx de leans beaux seigneurs 	comment ses ost en est alez. |et puis demande a ciax de laiens oiez signor 	comment son hoste sen est alle puys demande a ceulx de leans. |Beaux seigneurs 	comment sez ostes sen estoit partis de laiens |Puis demande a chiaus de laiens. |Biau seignor 	come suo oste |se n’è andato. |Poscia domanda a que di là entro: |Be' signori, 
403|404|405|406|407	quant s’em parti il — |Par foi, |dame, |font il, |si tost com il vos en vit aler 	quando se fue |Pordios buena señora |luego que vos de aqui partistes 	quant party il. |par foy dame font ilz si tost quil uous en uit aller 	quant sen ala il. |Par foi dame |si tost com il uous en uit aler. 	quant sen parti il/ |par ma foy si tost |que uous feustes partie/ 	et quant se parti il de chaiens. |Dame ce dient cil |si tost comme se il vous en vit aler. 	e quando se ne parti |elli?-Per fé, dama, |dicono elli, |si tosto come ve ne vide andare, 
408	et dist 	Mas dixonos 	il dist 	et dit 	et dist 	et dist 	e disse 
409|410|411|412|413|414	qu’il revendroit tost. — |Par foi, |fet ele, |gabez nos a. » |Lors demanda cele de Honguefort |quels armes il portoit 	que luego venia |Por buena fee |dixo ella |bien nos a engañado |Que armas traia 	que il reuendroit tantost. |Certes fait elle uous uous gabez. |Lors demande celle de hunguefort |quelz armes il portoit. 	quil reuandroit tost par foi signor gabe nos A. |Et lors demanda cele de honguefort ques armes il a 	quil reuendroit tantost. |par ma foy dist la dame il nous a gabes. |Lors demande celle de honguesford |quelles armes il portoit 	quil reuenroit tantost. |par foy fait elle gabe nous a . |ors demande cele de hongrefort |queles armes il portoit. 	che riverebbe tosto. — |Per fé, diss’ella, |il vorre giàb. |sAllor domanda quella d'Unguelforte |che arme elli portava, 
415	et ele li devise. « 	dixo la donçella de hongeforte 	et elle luy deuise. 	et cele li deuise. 	et elle luy deuise. 	Et elle li deuise 	e la damigella gliel divisa. 
416|417|418	En non Dieu, |fet ele, |je te trovai hui matin a l’entree d’une forest, 	e la donçella selas deuiso |Pordios dixo ella |yo lo falle oy demañana envna floresta 	Certes fait elle |ie le trouuae huy matin a lentree dune fourest, 	En non dieu fait |Se ioe lencontrai hui matin a lantree dune forest 	Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest/ 	Enon dieu fait elle iou le trouuai hui matin a lentree dune forest. 	“Al nome di Dio, |diss’ella, |io il trovai ogi mattino all’entrata d’una foresta, 
419|420	mes il ne portoit mie tel escu |com cil que je quier. — 	mas no traia el tales armas |Como aquel que yo ando buscando 	mais il ne portoit pas tel escu |comme cil 	mais il ne portoit mie tel escu. 	mes il ne portoit mye telles armes come celuy 	mais il ne portoit mie tels armes |comme cils 	ma e' non porta mica tale scudo come colui |ch’io cheggio. 
421|422	Bele cosine, |fet cele de laiens, 	Buena Parienta dixo la donçella del castillo 	que ie quier Belle cousine fait celle de leans 	comme cil que ie quier bele cousine fait cele de Iaiens 	que ie quiers/ belle cousine fait celle de leans 	que iou quier Bele cousine fait cele as de laiens. 	—eBella cugina, |disse quella di là entro, 
423	il le puet bien avoir changié 	el las puede auer bien trocado 	il le puet bien auoir despuis change. 	il le puet bien auoir changie 	il les peult bien auoir changiez 	il lez puet bien auoir cangies. 	elli il potrebbe poscia bene avere cambiato, 
424	et je vos di al mien cuidier 	e yo vos digo ami cuidar 	et ie cuide bien a mon cuider 	puis et ie uos di au mien cuidier 	et ie cuide bien a mon aduiz 	Et iou quit bien a mon escient 	e vo dico al mio credere 
425|426|427|428	que ce est cil |que vos querez : |si vos prie |que vos me laissiés o vos aler 	Que este es el que bos buscades |e Ruego vos que me dexedes convos yr 	que cest cil que uous querez. |si uous pry |que me lessez aller o uous 	que cest ciz |que uus querez. |Si uous pri |que uous me laissiez a uos Aler 	que cest celuy |que uous queres sy uous prie |que me lessiez aller auecques uous 	que che soit cil que vous queres |Si vous pri |que vous me laissies aler aueques vous 	che ciò est quelli cu' voi chiedete. |Si vi priego |che voi mi lasciate con voi andare 
429|430|431	tant que trové l’aions |et lors savrai l’acheison |por quoi il laissa mon ostel a tel ore. — 	fasta Quelo fallemos e sepa la rrazon |Porque se fue demi castillo ental manera 	tant que nous layons trouue. |Et lors scauray lachoison |pour quoy il a lesse mon houstel a telle heure 	tant que troue laions |et lors saurai locoson |por coi il a laisier mon ostel a tel eure. 	tant que laurens trouue. |Il mest monlt bel dyt celle de honguesfort 	tant que nous laions trouue. |Et lors si nous dira locoison |pourcoi il a laissie mon ostel en tel maniere. 	tanto che trovato l’abiate, |allora saprò io la cagione |per ch’egli à mio ostello lasciato a tale ora. — 
432|433	Il m’est molt bel, |fet cele de Honguefort, 	Mucho me Plaze dixo la donzella de ongeforte 	Il mest moult bel fait celle de hunguefort 	il met mout bel fait cele de hongefort. 		Il men est bel fait cele de hongrefort 	E' me n’è molto bello, |disse quella d’Unguelforte, 
434|435|436	que vos i viegniés, |puis qu’il vos plest. » |Ensi remistrent la nuit laiens et al matin. 	Que vengades |Pues vos plaze ansi fincaron toda aquella noche enla mañana tanto 	que uous y uieguez |quant il uous plaist. |Ainsi demeurent la nuyt leans. 	que uous i uangnerez de que il uos plait. |Ainsi remesent laiens la nuit. |et au matin 	que uous uiengnies auec moy |puis quil uous plaist. |ainsi demeurent la nuyt leans. |et au matin 	que vous y ueignies |puis quil vous plaist. |Ensi remestrent cele nuit laiens. |et lendemain 	che vo' vegniate, |da che vo piace». |lnsi rimasono la notte là entro, |e al mattino, 
437|438	si tost com eles ! |virent le jor, 	Como fue de dia se leuantaron 	Et au matin si tost quelles uirent le iour se leuerent 	si tost comme eles uirent le ior: 	quant ilz uirent le iour 	quant il virent le ior 	si tosto com'elle vidono il giorno, 
439	si leverent et se partirent del chastel 	e fueronse del castillo 	et se partirent du chastel. 	se leuerent et se partirent del chastel. 	si sen partirent du chastel 	sen alerent |et partirent del castel. 	si levarono e si partirono dal castello, 
440	et entrerent en la queste de lor chevalier. 	enla demanda del buen cauallero 	si entrent en la queste de leur cheualier. 	Si entrent en la quese de lor cheualier 	et entrerent en la queste de leur cheualier. 	et entrerent en la queste del cheualier 	si entrarono nella chesta del loro cavaliere. 
441|442	Mais or laisse atant li contes |a parler d’eles et de Boort	Agora dexa el cuento |de fablar dellas e de boores 	Mais or laisse le compte |a parler deulx et de boort. 	mais or laisse li contes a parler atant deles et de behort. 	Or lessons maintenant le compte de boors et des deux dames 	Mais ore laisse li contes a parler daus et de bohort 	Ma or lascia il conto |atanto a parlare di loro e di Boordo 
443	et retorne a parler de Lancelot 	e torna A Lançarote 	et retourne a parler de lancelot 	et retorne a parler de lancͣ. 	et retourons a parler de lancelot du lac 	et retorne a parler de lancelot del lac. 	e ritorna a parlare di Lancellotto, 
444	la ou il est entrez en la forest de Sarpenic, 	Que entro enla floresta Serpentina 	quant il entra en la fourest de sarponie sicomme le compte a deuise. 	la ou il est entrer en la forest de sarpenic 	le quel est entre en la forest de la sapine. 	si comme il entra en la forest de la sapine 	là ov’elli est entrato nella foresta di Sapernic, 
445	si com li contes a devise ariers. 	Asi como el cuento lo a deuisado 	Cy fine le comte. |Et parle de lancelot du lac. 		Comment lancelot emporta le corps de gallehaut |que plusieurs cheualiers gardoient: 	si comme li contes a deuise. 	si come il conto à divisato. 
446|447	Or dist li contes |qu’il fist grant chaut le jor 	Dize el cuento |que gran calentura façia el dia 	Or dit le conte |quil faisoit grant chault le iour 	GRant chaut cedit li contes fist le ior 	et comment il rescouist la seur de meleagant |que len uouloit ardre iiii.xx. xiiii. |Grant chault fist dit le compie le iour 	Ne dist li contes |que trop grant chaut fist celui ior 	Gran caldo, |ciò dice il conto, |fece il giorno 
448	que Lancelos entra en la forest de Sarpenic 	que lançarote entro enla floresta 	que lancelot entra en la fourest de serpeme. 	que lanc̃. entra en la foret de sarpenic. 	que lancelot fut entre en la sapinoie 	que lancelot fu entres en la forest de la sapine 	che Lancellotto entrò nella foresta di Sarpenic, 
449	et por ce ne remest il mie 	mas poreso no finco	et pour ce ne demoura il pas 	et por ce ne remest il pas 	et pour ce ne demoura il pas 	Et por chou ne remest il mie 	e per ciò e' non rimase passo 
450|451	qu’il ne chevalchast jusqu’à none; |si li avint 	que el no andubiese todo el dia |fasta nona 	quil ne cheuauchast iucqua nonne. |Si luy aduint 	que lanc̃ ne cheuanchast iusques a none. |Si auint 	quil ne cheuauchast iusques a uespres 	quil ne cheualchast iusques a nonne |Si li auint 	che non cavalcasse infin qua a nona, |si gli avenne insi 
452|453|454|455	ensi qu’il n’encontra home ne feme jusqu’al vespre; |mais lors sans faille, |si com il dut issir de forest |qui tot le jor li ot duré, 	que no encontro ome ni muger |mas a hora de visperas sin falta |quando queria salir dela floresta |que todo el dia le auia durado 	quil nencontra homme ne femme iucqua uespres. |mais lors quil deut yssir de la fourest |qui tout le iour luy auoit dure 	quil nancontra home ne fame iuscau uespre. |mais lors sans faille |Si comme il dut issir de la forest |qui tote ior li ot dure 	sans rencentrer homme ne femme. |Sicomme il deust issir dela forest 	ensi quil nencontra ne homme ne femme iusques a uespres. |Mais lors sans faille |si comme il dut issir de la forest 	che non incontrò huomo né femina insino a vespero. |?Ma allora sanza fallo, |si come dovea uscire della foresta |che tutto giorno gli avea durata, 
456|457	encontra une damoisele |qui molt faisoit grant duel 	encontro vna donzella |que mucho façia gran duelo 	il encontra une damoisele |qui moult faisoit grant deul 	Si encontra une damoisele |qui mout faissoit grant duel. 	il rencontra une damoiselle grant deul 	si encontra vne damoisele |qui moult faisoit grant doel. |si cheualchoit vn moult riche palefroy 	si incontrò elli una damigella |che molto facea gran duolo, 
							e cavalcava in uno palafreno nero 
							a molto ricca sambuca 
458	et chevalchoit I. palefroi noir a molt riehe lorain et a molt cointe sele de l'oevre d’Engleterre. 	e andaua envn palafren morçillo |que traia vna muy Rica silla y freno 	et cheuauchoit ung palefroy noir |a moult riche loram et a moult cointe sele de lueure de angleterre 	et cheuauchoit .i. palefroi noir a mout riche lomin et a mout riche cele de lueure dangeterre. 	faisant montee sur ung coincte pallefroy. 	a vn moult cointe lorain |et a vne sele dengletere 	e a molto bella sella dell’opera d’Inghilterra |e a molto ricco freno, 
							uno capelletto foderato di zendado in sua testa per lo caldo. 
459	Il salue la damoisele 	e el saluo la donçella 	Il salue la damoisele 	Il salue la damoisele 	Il salue la damoiselle 	Il salue la damoisele 	E'saluta la damigella 
460|461|462|463|464|465|466|467|468	et ele lui. « |Damoisele, |fet il, |kar me dites, |s’il vos plest, |por quoi vos plorés. — |Certes, |sire, |fet ele, 	e ella ael |donzella dixo lançarote |deçidme |porque llorades si vos plaze |çierto dixo la donçella |si yo supiese |que me vernia |Prouecho enello 	et elle aussi luy. |Damoisele. |fait il |or me dictes |pour quoy uous plourez. |Certes fait elle 	et ele autresi lui. |Damoisele fait lanc̃ |car me dites ore |ce il uos plait |que uos auez. |et por coi uus plorez. |Certes sire fait ele 	et lui dit. |Dame dictes moy |pour quoy uous plourez sil uous plaist |Certes sire 	et elle li rent son salut. |Damoisele fet il |sil vous plaisoit iou sauroie volentiers |pourcoi vous plores. |Sire certes dist elle 	ed ella gli rende suo saluto molto cortesemente. |Damigella, |disse Lancellotto, |ch’or mi dite ora |perché vo piagnete? — |Certo, sire, diss’ella, 
469|470	se je i' cuidoie avoir preu, |je le vos diroie. — 	yo voslo diria muy de grado 	si ie y cuidoye auoir preu ie le uous diroye. 	se ie i cuidoie auoir preu ie le uos diroie. 	se ie y cuidoie auoir prouffit ie uous le diroie. 	se iou y qui doie auoir aucun preu iou le vous diroie 	s’i vi credesse avere pro, si 'l vo dire' io. — 
471|472	Damage, |fet il, 	çierto dixo donçella |enmelo deçir 		Damage fait il 		Damage fait il 	Damaggio, |disse Lancellotto, 
473|474	ll’i avrez vos ja, |se Dieu plest, 	no aueredes vos daño si auos pluguiere 	Dommaige fait il ny aurez uous pas si dieu plaist. 	ni aurez uos ia se dieu plait. 	Dommage fait il ny aurez uous ia se dieu plaist. 	ni aurois vous ia se dieu plaist. 	non ci arete vo' già, |se Dio piace, 
475	mais dites le moi par covent 	e vos dezidmelo por conuenençia 	Mais dictes le moy par conuent 	Mais dites le moi par couant 		Dites le moi par tel conuent 	ma ditelme per convento 
