	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
478	et chevalchoit I. palefroi noir a molt riehe lorain et a molt cointe sele de l'oevre d’Engleterre. 	e andaua envn palafren morçillo |que traia vna muy Rica silla y freno 	et cheuauchoit ung palefroy noir a moult riche loram et a moult cointe sele de lueure de angleterre 	et cheuauchoit .i. palefroi noir a mout riche lomin et a mout riche cele de lueure dangeterre. 		si cheualchoit vn moult riche palefroy a vn moult cointe lorain et a vne sele dengletere 	e cavalcava in uno |palafreno nero a molto ricca sambuca e a molto bella sella dell’opera d’Inghilterra e a molto ricco freno, 
479|480|481|482|483|484|485|486|487|488|489|490|491|492|493|494|495|496	Il salue la damoisele et ele lui. « |Damoisele, |fet il, |kar me dites, |s’il vos plest, |por quoi vos plorés. |— |Certes, |sire, |fet ele, |se je i' cuidoie avoir preu, |je le vos diroie. |— |Damage, |fet il, |ll’i avrez vos ja, |se Dieu plest, |mais dites le moi par covent 	e el saluo la donçella |e ella ael donzella dixo lançarote |deçidme |porque llorades si vos plaze |çierto dixo la donçella |si yo supiese |que me vernia Prouecho |enello yo voslo diria muy de grado |çierto dixo donçella |enmelo deçir |no aueredes vos daño |si auos pluguiere |e vos dezidmelo por conuenençia |que vos ayude yo a todo mi Poder en todas las cosas |que hubieredes menester |e espeçialmente enesta por que vos llorades 	Il salue la damoisele |et elle aussi luy. |Damoisele. |fait il or me dictes |pour quoy uous plourez. |Certes fait elle |si ie y cuidoye auoir preu ie le uous diroye. |Dommaige fait il ny aurez uous |pas si dieu plaist. |Mais dictes le moy par conuent 	Il salue la damoisele et ele autresi lui. |Damoisele fait lanc̃ |car me dites ore ce il uos plait |que uos auez. |et por coi uus plorez. |Certes sire fait ele |se ie i cuidoie auoir |preu ie le uos diroie. |Damage fait il |ni aurez uos ia se dieu plait. |Mais dites le moi par couant 	Il salue la damoiselle |et lui dit. |Dame dictes moy |pour quoy uous plourez sil uous plaist |Certes sire se ie y cuidoie auoir prouffit ie uous le diroie. |Dommage fait il ny aurez uous ia se dieu plaist. |car se ie uous 	Il salue la damoisele |et elle li rent son salut. |Damoisele |fet il sil vous plaisoit iou sauroie volentiers |pourcoi vous plores. |Sire |certes dist elle se iou |y qui doie auoir aucun preu iou le vous diroie |Damage fait il ni aurois vous ia se dieu plaist. |Dites le moi par tel conuent 	uno capelletto foderato di |zendado in sua testa per lo caldo. |E'saluta la damigella |ed ella gli rende suo saluto molto cortesemente. |Damigella, disse Lancellotto, |ch’or mi dite ora |perché vo piagnete? |— |Certo, |sire, diss’ella, |s’i vi credesse avere pro, si 'l vo dire' io. — |Damaggio, disse Lancellotto, |non ci arete vo' già, |se Dio piace, |ma ditelme per convento che, 
497|498|499|500|501|502|503|504|505	que, se je vos puis aidier a vos esleecier, |je vos aiderai a mon pooir. |— |En non Dieu, |sire, |fet ele, |donc le vos dirai je. |ll est voirs |que Meleagans, 	Ca yo porne enello el mejor Remedio |que puede ser |si es cosa |que vos pueda ayudar |Enel nombre de dios dixo la donçella |pues vos os afincades tanto |que vos diga enque manera es 	que si ie uous puis aider a uous aider. |it uous aideray a mon pouoir. |En nom dieu sire fait elle |dont uous diray ie. |Il est uoir 	que ie uos en aiderai a eslaicier. |a mon paoir ce ie uos en puis aidier. |En non dieu sire fait ele |dont ie uos dirai ge. |Il est uoirs 	puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. |Par dieu sire denc fait elle le uous diray ie. |Il fut uoir 	que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. |Enon dieu sire |fet elle |dont le vous dirai iou |IL fu voirs 	s’i vo ne posso aiutare o consigliare, |io vo n’atrò di tutto mio podere. |— ll A nome di Dio, diss’ella, |dunque il vo dirò io. |Egli è vero che Meleagante, 
506|507|508|509|510	li fiz al roi Baldemagu, |ala a la cort le roi Artu |por la roine Genievre conquerre, |s’il peust; |et endementiers fist tant une damoisele 	e que cosa es lo |porque yo lloro yo voslo dire |asi es que fiço tanto vna donçella 	que meleagant le filz du rop bandemagu alla a la court du roy artus |pour conquerre la royne genieure sil eust peu. |Cependant fist tant une damoisele 	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu. |Por la roine reconquerre |ce il peust. |et andementiers fist tant une damoisele 	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. |En dementiers fist tant une damoiselle 	que melyagans li fiex au roy baudemagu ala a la cort au roy artu |pour la royne genieure conquiere. |Et endementres fist tant vne damoisele 	il figliuolo del re Bando di Maguzo, |andò uguanno alla corte del re Artù |per la reina Ginevra conquidere, |se potesse. |eE dimentre, fece tanto una damigella 
511|512	qui estoit? |sa suer 	Que hera hermana de Meliangas 	qui estoit sa seur 	qui estoit suers meleagan: 	qui sa seur estoit 	qui sa suer estoit. 	ch’era sua serocchia 
513|514|515|516|517|518|519|520	qu’ele geta Lancelot d’une tor |ou Meleagans l’avoit mis en prison, |ne sai por quoi. |Quant ele l’ot delivré, |si le tint avec li |tant qu’il fu garis, |kar molt avoit eu mesaise en la prison, |et puis l’envoia a la cort le roi Artu 	que saco dela prision a lançarote |quelo tenia envna torre Meliangas no sabia porque e quando el fue libre ella lo tubo en su poder |fastaque fue guarido |ca mucho auia enpeorado dela prision |e des que fue guarido fuese ala corte del Rey Artur 	quelle gecta lancelot du lac dune tour |ou meleagant lauoit mis en prison |ie ne scay |pour quoy |Quant elle leut deliure |si le tint auecquez luy |tant quil fu guery. |car moult auoit eu mesaise en la prison. |Et puis lenuoya a la court du roy artus 	que ele ieta lanc̃ dune tor |ou meleagans lauoit mis en prison. |et puis lenuoia a la cort le roi artu |ou il ocit 	que elle iecta lancelot hors de prison de une tour |la ou il lauoit mis. |Quant elle leust deliure |elle le tint auec elle |tant qu il fut gary: |et moult y auoit eu mesaise. |et puis lenuoia a la court du roy artus 	que elle geta lancelot de prison dune tour |ou il estoit mis : |iou ne sai porcoi |Ouant elle lot deliure. |si le tint aueques li. |tant quil fu garis |Car moult auoit eu mesaise en la prison. |Et Io puis quant il fu garis |si lenvoia a la cort au roy artu 	ch’ella gittò Lancellotto di Lac d’una torre |ove Meleagante l’avea messo in pregione, |non so perché. Quand’ella l’ebbe dilivero, |si l tenne con esso lei non so quanto, |tanto ch’ella el guari, |ché molto avea avuto misaggio nella prigione. |Quand’e fu tornato a guarigione, |sillo inviò alla corte del re Artù, 
521|522	ou il ocist Meleagan, |ce savons nos or bien. 	e Mato alla a meliangas |segund cuido |que oystes 	ou il occist meleagant ce scauons nous ores bien. 	.mel̾. ci sauons nos ore bien. 	la ou il occist meleagant. 	ou il ochist |melyagant chou sauons nous bien. 	ov’elli uccise Meleagant, |ciò sapiamo noi ora bene. 
523	Mais si tost com li parent sorent 	mas tan ayna como sus parientes lo supieron 	mais si tost que les parens meleagant sceurent 	mais si tost com cil parent sorrent 	mais tantost que ses parens sceurent 	Mais si tost que si parent le sorent 	Ma si tosto come i parenti di Meleagante |seppono 
524|525	qu’ele avoit Lancelot osté de la prison, |si distrent 	que ella auia hechado dela prision a lançarote |Dixeron 	quelle auoit oste lancelot de la prison |si distrent 	que ele auoit iete lanc̾ de prison; |si dirrent 	que elle auoit iecte lancelot hors de prison 	que elle auoit lancelot gete de prison |Si distrent 	ch’ella avea tratto di pregione Lancellotto, 
526|527	qu’ele l’avoit fait |por Meleagan ocirre; 	quelo auia fecho |por amor de Meliangas delo matar 	quelle lauoit fait |pour occire meleagant. 	que ele lauoit fait por mes. ocirre. 	ilz la occuperent de la mort de meleagant. 	que elle lauoit fet |pour melyagant ocirre 	sì dissono ch’ella l’avea fatto per Meleagante uccidere, 
528|529	si le pristrent a force |et l’acheisonerent de sa mort 	e tomaronla afuerça |e pusieronla en prision 	Et la prindrent a force et laccuserent de sa mort 	Si la prissent a force |et locoisonent de sa mort. 	et fut dit 	Si le pristrent a force et locoisonnerent de sa mort. 	si-lla presono a forza |e la cagionarono di sua morte, 
530|531|532	et distrent |que, s’ele ne trovoit |qui l’en desfendist. 	e dixeron |que si no fallare quien la defender de aquesto 	et distrent |que selle ne trouuoit |qui la dessendist 	et dirent |que cele ne trouoit |qui la desfandit 	que se elle ne trouuoit |qui la deffendist 	Et distrent |que se elle ne trouuast |qui len deffendist 	e dissono che, |s’ella non trovasse chilla difendesse, 
533	qu'il feroient de lui justice si grant 	que farian della grand justiçia 	quilz feroient telle iustice de lie 	quil feroient de li iustice tele 	que len feroit de elle telle iustice 	que on feroit de li autel iustice 	ch’elli farebono giustitia di lei 
534	com l’en doit fere de cele 	Como deuen de fazer de muger 	que len deuroit faire de femme 	com len deuoit faire de fame 	que len deuoit faire de femme 	com on deueroit faire de femme 	si grande come l’uomo dee fare di femina 
535	qui son frere ocist. 	que asu hermano auia muerto 	qui son frere a occis. 	qui son frere ocist. 	qui son frere auoit occis. 	qui son frere auoit ocis. 	che suo fratello uccide. 
536	Et ele dist 	e ella dixo 	Et elle dist 	et ele dist 	Et elle dit 	Et elle dist 	Ed ella disse |ch’ella il 
537|538|539|540	qu’ele troveroit bien |qui la desfendroit: |si mist jor d’amener I. chevalier |por li desfendre, 	que bien fallaria quien la defendiese |e luego pusieronle dia señalado |Parase defender Por cauallero |e ella ymbio a buscar 	quelle trouueroit bien |qui la defendroit |si a mis iour damener auant ung cheualier |pour la deffendre. 	que le troueroit bien |qui la desfanderoit. |Si mist ior damener .i. cheualier por li desfandre. 	que elle trouueroit bien |qui len deffendroit. |Si lui fut iour determine de trouuer ung cheualier |pour elle deffendre. 	quele le trouueroit bien |Si mist iour dun cheualier amener auant. |pour li desfendre. 	troverebbe bene chi ne la difenderebbe, |sì ànno messo giorno d’a- |menare uno cavaliere per lei difendere, 
541	si s’est puis porchaciee en Pluisors liex, 	por muchos lugares |quien le defendiese 	si sest puis pourchacee en plusieurs lieux. 	Si cest puis porchacie en plusors lieus. 	Et elle a depuis pour chasse en plusieurs lieux 	Si sen est puis pourchascie en pluisors lieus. 	si se n’è poscia procacciata in più luogora, 
542	mais onques ne trova chevalier 	mas nunca a podido fallar Cauallero 	mais oncquez ne trouua cheualier 	mais onques ne troua cheualier 	mais oncques ne trouua cheualier 	mais onques ne troua cheualier 	ma unque non trovò ancor cavaliere 
543|544	qui ses armes en osast prendre contre celui |qui apelee l’avoit. 	que armas quiera tomar contra aquel Cauallero |que deste pleito la a Reptado 	qui armes en osast prendre encontre celuy |qui lauoit appellee. 	qui ses armes en ossast prandre encontre |celui qui apelee len auoit. 	qui ses armes osast prendre centre celui |qui lauoit appelle. 	qui sez armes en osast prendre encontre |celui qui apelee len auoit. 	che sue armi osasse imprendere incontro a colui che apellato l’à. 
545|546	Or si est tant la chose alee |que li jors est aterminés a hui ; 	e el Plazo se cumple Mañana 	Ores est tant la chose alee |que le iour est termine a huy. 	Or si est tant la chose alee |que li iors fu A termines a hui. 	Or est tant la chose allee |que le iour est ennuy termine: 	Ore est la chose tant alee |que li iors fu atermines a hui. 	IOr si è tanto la cosa andata |che 'l giorno est aterminato a oggi, 
547|548	si n’a trové la pucele nul desfendeor et por ce dient li un et li autre |qu’ele est atainte del meffet 	ental manera que si fasta ora de terçia no falla defensor 	si na encor trouue la pucele nul deffendeur. |Et par ce dient les ungs et les autres |quelle est atainte du meffait 	Si ne trueue la pucele nul desfandeor. |et por ce dient et li un et li autre |que ele est atainte dou meffait : 	si na trouue nul desfendeur. 	si na trouue nul desfendeour |Et pour chou dient li vn et li autre |quele est atainte del mesfait 	si non à ancor trovato la pulcella difenditore, |e perciò dicono gli uni e gli altri |ch’ella è agiunta del misfatto 
549|550|551|552|553	que l’en li met sus : |si l’ont jugiee, |ce m’est vis, a ardoir le matin |et por ce qu’il m’en membroit, |or em ploroie je si durement, 	tomaran della luego vengança |e la vengança sera tal que la Quemaran |e poresto lloro yo asi tan fuertemente 	que len luy mect sus. |si lont iugee |si mest aduis a ardoir le matin. |Et pour ce quil men menbroit ores plouroye ie si fort. 	que len li met sus. |Si lont iugie ce mest uis le matin a ardoir. |et por ce quil men menbroit ore ploroie ge si durement. 	et pource lont iugiee a estre arse au matin |et cest la cause |qui me fait plourer 	que on li a mis sus. |si lont iugiee lal ardoir le matin. |Et pour chou quil men ramenbroit ore ploroie iou 	che l’uomo le mette suso. |Si-ll’anno giudicata, |ciò m’è aviso, |ad ardere domattina, |e per ciò che me ne ricordo, |ora quand’io vo vidi |piagnea io si duramente, 
554|555|556|557|558|559|560|561|562|563|564	kar certes ele estoit une des plus cortoises damoiseles ! del monde |et une des plus vaillans. |— |Or me dites, |damoisele, |fet Lancelos, |et s’ele trovoit demain |qui la deffendist, |dont ne seroit ele quite del jugement |que l’en a fet ? |— 	porque aquella es vna delas altas donzellas del mundo |agora me deçid |donçella dixo lançarote si ella fallase |tras quien la defendiese |seria ella quita del todo 	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde |De celle mesmes matiere dessus dicte. |Or me dictes damoisele fait lancelot et selle trouuoit demain |qui la deffendist ne seroit alle pas quicte du iugenent |que lon a fait. 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. |Or me dites damoisele fait lanc̃. |se le trouoit |qui la desfendist |dont ne seroit ele quite del iugement |que len li a fait. sire fait ele ie ne sai. 	car elle estoit une des plus haultes damoiselles du monde: |et des plus uaillantes. |OR me dictes damoiselle fait lancelot |se elle trouuoit demain |qui la deffendist ne seroit elle pas quicte du iugement. 	Car elle estoit vne des plus hautes damoiseles del monde |et des plus uaillans |CAr me dites |dont damoisele fait lancelot. |se elle trouoit demain |O qui le desfendist dont: |ne seroit elle quite del iugement. 	ché certo ella era una delle più belle e delle più cortesi damigelle del mondo |e una delle più valentri». |Or mi dite, damigella, |disse Lancellotto, |s’ella trovasse domane chi ne la difendesse, |dunque non sarebbe ella cheta del giudicamento |che l’uomo l’à fatto? - 
